subject,stage,chan,P1_window,N1_window,P2_window,N2_window,MMN1_window,P1_975,P1_1000,P1_1025,N1_975,N1_1000,N1_1025,P2_975,P2_1000,P2_1025,N2_975,N2_1000,N2_1025,MMN1_975,MMN1_975_latency,MMN1_1025,MMN1_1025_latency,P1-N1_975,P1-N1_1000,P1-N1_1025
2,after,C4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.7731855395062737,3.0816295845023527,1.8002028553075475,-0.08466745967848699,0.9677580479066352,-0.6239569236613856,2.924940111226179,2.8911860966283687,0.7579724872691099,-4.85683581136983,-3.897421615330074,-5.676797111911108,-2.311598060590251,370.0,-3.0377451711602284,320.0,2.8578529991847605,2.1138715365957177,2.4241597789689333
2,after,Fz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",4.045486396059848,4.14769488299546,3.788172272560365,-1.5842318873108885,1.0924118986284614,-0.7198326795838099,3.3098210810892814,3.031860112383741,0.5258975198593034,-6.359891807369324,-5.560076422004234,-6.693220984989075,-2.6165078008894382,200.0,-2.8519483948812576,330.0,5.629718283370737,3.0552829843669986,4.508004952144175
2,after,Cz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.623810277136629,3.0321673010390735,1.4668455507818756,-0.5686642283387398,0.7335095076858901,-1.4927364664452942,4.395445104984947,4.30367413165105,2.1302724221775367,-5.9185353206630715,-4.544653603538301,-6.121277342133952,-2.5194442257677894,368.0,-2.5899847075457894,324.0,3.192474505475369,2.2986577933531835,2.95958201722717
2,after,FCz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.6553828462048576,4.0210380972781765,3.2426788751119466,-1.1987408339412566,0.9751193770210428,-0.8263406465763017,4.100490196811207,4.105637641375516,1.7596287707044738,-6.1830398993738225,-5.20429628316933,-6.7084017821275905,-2.406054623968508,200.0,-2.9931516655240955,330.0,4.854123680146114,3.045918720257134,4.069019521688248
2,after,FC3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.7854914134943725,3.705716588802404,3.061539698523088,0.15272190086947496,1.5203901726384106,0.036370742695759184,2.848483194137527,2.5754997518460208,1.0316492792130136,-4.903734887795271,-3.8247359802168353,-5.35463193561886,-1.9440075225434224,398.0,-1.8426085241310712,286.0,3.6327695126248973,2.1853264161639934,3.0251689558273287
2,long-term,FC4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.4106071732997285,2.6240709260135997,2.8217497548196513,-0.5390769105416218,0.07362650635051607,-0.2554694644509541,1.5661421799160018,1.291108160068525,0.6341184358667962,-5.9011908078438555,-5.222434839614674,-4.151676891016045,-1.3292226457303122,362.0,-0.9531139532663605,350.0,2.9496840838413503,2.5504444196630836,3.0772192192706056
2,long-term,F3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.5361842598077864,4.04573172721354,5.489586104113814,-0.5773642107559747,0.2679547017689829,0.76704850916808,0.15803307081749074,0.01156273986063804,0.7434419629328962,-5.935222821292371,-4.894876810923685,-3.556762070439861,-1.1971269667645146,276.0,-0.32042745609787926,392.0,4.113548470563761,3.777777025444557,4.7225375949457336
2,long-term,F4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.6278445140452944,3.3854931043081358,3.76913503664803,-0.8852019779231088,-0.18501833469786289,0.1332708187321769,-0.1808600241972788,0.2806226324724024,-0.8662228038636977,-6.291726819459761,-5.696521690977727,-4.777624778865986,-2.0353116933528845,324.0,-1.1980496179994102,352.0,3.513046491968403,3.5705114390059984,3.635864217915853
2,long-term,C3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.9551934505046247,2.4286106994919603,3.765357606675542,0.5006156257816892,0.7619602818638993,0.5742586131436714,1.977157058077464,1.0510921059759473,1.8655237975155576,-3.9644659873250023,-3.8546236660398163,-2.1087395706158496,-0.6013793835146256,396.0,-0.07257398255938785,384.0,2.4545778247229357,1.666650417628061,3.1910989935318708
2,long-term,C4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.1354268804792618,1.6682147552900202,2.3501449801712067,0.1532981609055958,-0.14090732551884452,0.019351362695579216,2.649674190867928,1.906804804448764,2.030708596830018,-5.049935657017277,-4.973562149345646,-3.426558326124733,-0.9731665009282428,386.0,-0.20402245995035206,352.0,1.9821287195736659,1.8091220808088646,2.3307936174756274
2,long-term,Fz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.9001817699041625,3.62929307148628,4.552784684265828,-0.6787585452644627,0.11912739117567304,0.42191129030111296,0.9437267866333316,0.8332600318547819,0.6278247419043995,-7.014698792916287,-5.8379506061090325,-4.459664882551011,-1.6035729890029264,274.0,-0.7528049865505453,348.0,3.578940315168625,3.510165680310607,4.130873393964715
2,long-term,Cz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.368781939924641,1.930375288874856,2.5817649615041462,0.2939299875948767,0.10965580107518297,-0.5223567549681515,3.3192096334576413,2.7577638319382465,2.5900913502137293,-6.689195305110156,-5.790993185323522,-4.456204704340711,-1.457194637667552,274.0,-0.5769575545093425,180.0,2.074851952329764,1.820719487799673,3.1041217164722976
2,long-term,FCz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.8234922170844325,3.1347516191769267,3.836491296053496,-0.2689021979726433,0.3843881779290024,0.07988714383436334,2.4105786407372336,2.0460507380297406,1.6915708610024902,-7.200224114797625,-6.029194169419137,-4.556557018791925,-1.541407010949027,274.0,-0.7267388174567524,184.0,3.092394415057076,2.7503634412479245,3.7566041522191327
2,long-term,FC3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.2589508347142733,3.5107315470290086,5.119013742212073,0.16896738320451998,0.4260281580230623,1.05417615027143,1.1915151535575563,0.4045583731299392,1.5484362015503657,-4.9306545836163185,-4.539816412893051,-2.5303297729401257,-0.6848671935609261,272.0,0.5299318490592624,388.0,3.0899834515097533,3.0847033890059463,4.064837591940643
3,before,FC4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",1.6210876336928242,2.6820113647559625,3.0229864641224955,1.714116631560712,2.7641867988248,2.7530763759700214,6.603011306739209,3.763824075467272,3.590997564827748,-3.7973852574473854,-1.8657294203422563,-4.242912772227606,-2.7187218529963966,298.0,-2.6464165333624474,316.0,-0.09302899786788776,-0.08217543406883765,0.2699100881524741
3,before,F3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.7570104545771774,3.8719563177462497,4.339475703288762,3.857855743235015,3.942184637302488,4.378590802781203,7.566373469294089,4.790157334273825,5.260645298901865,-1.5782662223014252,-2.4686524219445074,-3.081240280402667,0.21639657279620916,370.0,-2.820614316249495,340.0,-0.1008452886578377,-0.0702283195562381,-0.03911509949244163
3,before,F4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.3642590314986713,3.689156682887974,3.787512988478567,3.5843069206973426,3.7935317935967583,3.64966805658542,7.099343711338968,4.765902929435966,4.9843985078280015,-2.8350557055627155,-2.199402761471208,-3.8743075071640756,-0.6731184017427068,298.0,-2.7130881531814044,360.0,-0.22004788919867124,-0.10437511070878447,0.13784493189314695
3,before,C3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.526860365834524,2.585341844842161,2.1890961232165216,1.7515458757759526,2.0456279220623816,1.8039053608471267,6.248658658945604,3.7356803692566554,2.5270968424214564,-1.2392895783962856,-1.7081654278008571,-2.911120764942625,-1.4161468246618991,398.0,-2.9374555503278286,342.0,0.7753144900585716,0.5397139227797791,0.38519076236939487
3,before,C4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",0.4729584811248604,1.552966946464434,1.8106537574172024,0.5195116105448858,1.5592336726736808,1.4165346854249103,5.498710041738578,2.4145811756545683,1.4571153956801643,-1.9522852039543173,-0.9237653352441341,-4.0521318541395965,-1.6744969478676837,396.0,-3.743780814410081,346.0,-0.04655312942002543,-0.006266726209246842,0.394119071992292
3,before,Fz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.1222123120658885,3.5696802823657205,4.007323630704694,3.3343405563982524,3.643536320308064,3.700828104439264,7.521314918177691,4.896736239711966,5.466035694339223,-3.6330639917995406,-2.3653310160912424,-5.077980099071633,-1.6569487538878458,398.0,-3.151402789551897,358.0,-0.212128244332364,-0.07385603794234363,0.3064955262654303
3,before,Cz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",0.9285810492348968,2.246256435952341,1.5260640421945864,1.0258064953766166,2.136680250975388,1.4977435495569924,5.392419500649914,4.14165307718347,2.8173509295233243,-3.641244809249975,-1.7161536916137792,-5.682732683988967,-2.630855504300023,396.0,-5.020675992016125,344.0,-0.0972254461417198,0.10957618497695298,0.028320492637593953
3,before,FCz,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",2.724337207293226,3.0669307122673386,2.9648051942359688,2.88568847794312,3.133150363290528,2.679982693385333,6.469129363119332,5.171992812585279,4.624152464003232,-4.931339214449556,-2.3196254392067885,-5.57029007246645,-2.683865219078443,274.0,-3.9110213419805397,312.0,-0.16135127064989385,-0.06621965102318939,0.28482250085063576
3,before,FC3,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",3.5400385224069275,3.810203217701134,3.8596683558743567,3.3799582907547494,3.461012526469148,3.708472084233038,7.1297919931593405,5.076486959081048,4.338306507619814,-2.160274380381749,-2.3859934049855367,-3.3752670359605066,-1.0449946149985214,398.0,-2.5843697999042545,342.0,0.1600802316521781,0.349190691231986,0.15119627164131888
3,after,FC4,"range(50, 80)","range(80, 120)","range(150, 180)","range(200, 350)","range(180, 400)",1.2779126703753525,1.836762503595405,0.0479882199092636,1.4695688535806106,1.87093601406802,0.15201090092614813,2.9542963995547162,2.6372899267848697,-1.0129090728016914,-4.965066215656294,-1.2398598134296293,-4.190098363573904,-4.009747325531182,286.0,-3.9215204493163904,180.0,-0.19165618320525812,-0.034173510472615076,-0.10402268101688453
